40	2	3	4	0	26.90053306	28.00738026	29.43400919	30.35463562	29.86147599	27.91513243	26.87196678	24.17394199	23.61102425	24.13973712	25.19088213	26.89775257	27.55706737
41	2	2	4	0	28.86471825	21.34119629	24.14824795	28.9193791	31.86016235	33.94677623	33.83017883	32.10588091	30.82697387	31.3280877	29.66260001	26.25950832	22.06787056
42	2	12	4	19	10.79161081	14.53714412	14.89246911	13.63623466	11.35327399	9.489890516	8.312081408	6.943466848	7.521860494	8.725194515	9.987442045	12.02756987	13.46747837
43	2	4	3	20	8.176524228	-6.825481586	-3.74529757	2.997468826	9.923944991	14.37573751	16.51257877	20.96075879	19.99747692	15.5149519	8.510717272	1.277362685	-4.208633469
44	2	12	4	21	23.70947548	24.04242653	24.72835411	24.52272333	23.92985861	23.43792463	23.13986327	22.67461949	23.57275575	23.96805941	23.71214214	23.66610144	23.5034193
45	2	1	4	0	26.92158188	28.07560408	28.37488813	28.74182792	28.48673243	27.37675985	26.742199	25.16391177	24.91884948	25.04967309	25.83593025	26.93429185	28.0735582
46	2	3	4	22	25.05699416	25.42266647	25.9866664	25.75368903	25.13771742	24.82990148	24.68186494	24.81711492	25.52841428	25.5711916	24.709804	24.21325918	24.24771817
47	2	3	4	23	25.67661748	26.58864571	26.96264647	26.74551801	26.41048576	25.67441352	25.4804653	24.91775402	25.16696186	25.05283456	24.63206201	25.0309853	25.72516733
48	2	11	5	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
49	2	9	4	24	24.09502494	23.06016906	23.59887782	24.42327447	25.27873691	25.17284254	24.8667814	24.00118381	24.34811603	24.41758825	23.71442858	23.47985129	23.06686669
50	2	3	4	25	26.93966521	27.71147255	28.986904	29.69886684	29.53379902	28.26031556	27.15262364	24.56538709	24.08359511	24.55819694	25.66953319	26.97357119	27.32517567
51	2	7	2	0	12.44537642	1.664106187	4.515385898	7.808755093	12.37701238	15.07145588	17.76498819	21.86475889	22.34403038	17.25198787	13.09833685	8.585612548	3.886788311
52	2	8	4	0	26.0687821	23.26029513	24.08269634	24.30850733	25.72756616	26.69251789	27.31486256	28.37200454	28.4784698	27.82407956	26.68551074	24.97681938	24.37527009
53	1	6	1	26	21.50683865	13.81055132	15.09408582	16.36307514	19.16194068	22.46296006	24.2540998	28.49393295	28.41066295	27.08196567	24.35169811	20.34611071	16.06846785
54	1	7	2	0	9.012571636	-2.013692554	0.422604246	4.265080308	9.140665684	12.83668425	15.17703931	18.06500959	18.60924661	14.04816358	9.589984208	4.248971906	0.955527639
55	1	7	1	27	9.7142068	2.750250167	2.908386766	4.427351689	7.364666694	12.06986203	13.87230265	16.77367722	16.81002047	14.79524367	10.65787105	6.576092289	5.402984902
56	2	2	4	0	29.69406417	24.40139602	25.24576734	27.75719382	29.70722159	32.48433809	33.65740805	34.3031954	33.23814832	33.05766218	29.70171445	26.56206544	24.83765199
57	2	8	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
58	2	8	4	28	24.54392649	22.46927986	22.68393836	23.24522821	24.19626813	25.00247019	25.46351932	26.15168122	26.26912011	26.06980767	25.17699906	24.02067673	23.2232165
59	2	12	4	29	20.40584749	20.72761469	20.89962947	20.84189522	20.66281714	20.50407499	20.024649	19.23914989	19.87167681	20.52359227	20.60081894	20.81969543	20.68196451
60	2	2	4	30	24.07418888	13.5665331	16.50190258	20.34435922	24.83401394	29.24645187	30.46300672	31.47560507	31.40282668	28.78481648	25.24078516	20.13615843	15.24029272
61	2	9	4	31	22.90771665	20.76425868	22.06969225	23.6156203	25.02342098	24.93316477	24.20773027	23.31290137	23.49423835	23.13647398	22.1063975	21.60724628	21.29144292
62	1	3	4	32	24.49783745	25.26049051	25.72731235	25.71310448	25.64476118	25.02952657	24.51283042	23.23059552	23.14127844	23.45020361	23.7368689	24.34557882	24.78185886
63	2	2	4	0	28.57986887	23.93257732	25.01775592	27.30624971	29.45516055	31.69379421	32.06848684	31.16714761	29.91430475	30.89375605	29.42957122	27.00441894	24.5591902
64	1	7	2	0	6.854438478	-3.500360785	-2.20993689	-0.265065355	4.727778569	10.78674403	12.78507851	16.98069612	16.81911461	13.01755206	6.8878219	2.855815274	0.858551589
65	2	2	4	33	23.71812566	23.15190426	24.71477742	25.86647498	25.38541063	24.58796314	24.20081252	22.80788409	22.82159964	23.4595094	23.0299815	22.54337241	22.53622077
66	2	12	4	0	7.313870753	10.43929775	10.74097614	9.682422809	7.845558671	6.411399077	5.7321262	4.47004673	4.473463857	5.152009782	6.179030382	7.928550791	9.597604625
67	1	7	1	0	7.907547876	5.461496621	5.612763598	5.535690645	6.004568357	7.673771531	8.578038485	11.10018914	11.2446775	10.44760263	8.825934961	6.698523278	6.632690147
